match_id,date,batsman,venue,batting_team,team1,team2,runs,balls,wickets,opponent,runs_last_5,runs_last_10,runs_last_5_std,runs_diff_last_match,matches_played,target_runs,strike_rate,sr_last_5,venue_avg_runs,opp_avg_runs
7928,2018-05-05,AB de Villiers,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,1,4,4,Chennai Super Kings,46.8,35.5,37.890632087628205,79.0,30,6.0,0.25,1.626468769325912,1.0,11.0
7932,2018-07-05,AB de Villiers,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,6,9,9,Sunrisers Hyderabad,30.6,32.8,36.36344318130504,-88.0,31,44.0,0.6666666666666666,1.3037414965986396,6.0,44.5
7896,2018-08-04,AB de Villiers,Eden Gardens,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,44,23,23,Kolkata Knight Riders,23.2,33.0,36.9689058534331,5.0,32,72.0,1.9130434782608696,1.1299319727891155,36.0,25.375
7938,2018-12-05,AB de Villiers,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,72,37,37,Delhi Daredevils,30.0,37.3,37.06076092041285,38.0,33,13.0,1.945945945945946,1.1792073351079562,72.0,72.0
11150,2019-02-04,AB de Villiers,Sawai Mansingh Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,13,9,9,Rajasthan Royals,42.4,38.1,39.0166631069342,28.0,34,1.0,1.4444444444444444,1.3183965242971454,13.0,35.5
11345,2019-04-05,AB de Villiers,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,1,2,2,Sunrisers Hyderabad,27.2,37.0,30.111459612579395,-59.0,35,65.0,0.5,1.2440201070635852,33.0,44.5
11153,2019-05-04,AB de Villiers,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,65,34,34,Kolkata Knight Riders,27.2,28.9,30.1114596125794,-12.0,36,18.0,1.911764705882353,1.2940201070635853,33.0,25.375
553,2015-03-05,AM Rahane,Brabourne Stadium,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,91,56,56,Delhi Daredevils,16.4,27.9,11.523888232710346,-8.0,20,8.0,1.625,0.9499943534726144,49.5,41.375
558,2015-07-05,AM Rahane,Brabourne Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,8,6,6,Sunrisers Hyderabad,32.2,30.7,34.74478378116635,75.0,21,0.0,1.3333333333333333,1.0349943534726145,49.5,9.0
520,2015-10-04,AM Rahane,Maharashtra Cricket Association Stadium,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,0,8,8,Kings XI Punjab,27.8,27.9,36.444478319767455,-83.0,22,23.0,0.0,1.0289337474120084,15.6,18.4
563,2015-10-05,AM Rahane,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,23,17,17,Chennai Super Kings,27.8,22.0,36.444478319767455,-8.0,23,47.0,1.3529411764705883,1.0289337474120084,23.0,12.0
523,2015-12-04,AM Rahane,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,47,41,41,Delhi Daredevils,27.6,21.3,36.473277889435714,23.0,24,4.0,1.146341463414634,1.0908263305322128,30.5,41.375
605,2016-01-05,AM Rahane,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Rising Pune Supergiants,Mumbai Indians,4,6,6,Mumbai Indians,33.8,25.1,36.64287106655263,24.0,25,63.0,0.6666666666666666,1.091523194643711,15.6,36.5
609,2016-05-05,AM Rahane,Feroz Shah Kotla,Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,63,51,51,Delhi Daredevils,16.4,24.3,19.191143790821847,-43.0,26,74.0,1.2352941176470589,0.8998565279770444,30.5,41.375
611,2016-07-05,AM Rahane,M Chinnaswamy Stadium,Rising Pune Supergiants,Rising Pune Supergiants,Royal Challengers Bangalore,74,49,49,Royal Challengers Bangalore,27.4,27.6,27.245183060497133,59.0,27,66.0,1.510204081632653,0.8802486848397896,49.0,40.333333333333336
577,2016-09-04,AM Rahane,Wankhede Stadium,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,66,42,42,Mumbai Indians,42.2,35.0,28.70017421549911,11.0,28,0.0,1.5714285714285714,1.1822895011663204,41.0,36.5
616,2016-10-05,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,0,3,3,Sunrisers Hyderabad,50.8,39.2,27.941009287425537,-8.0,29,4.0,0.0,1.2259869801579169,0.0,9.0
38,2017-01-05,AM Rahane,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,4,4,4,Gujarat Lions,41.4,37.6,36.21877965917681,-66.0,30,11.0,1.0,0.99671868747499,15.6,4.0
40,2017-03-05,AM Rahane,Eden Gardens,Rising Pune Supergiant,Kolkata Knight Riders,Rising Pune Supergiant,11,9,9,Kolkata Knight Riders,41.4,28.9,36.21877965917681,4.0,31,60.0,1.2222222222222223,1.0633853541416567,11.0,20.5
2,2017-06-04,AM Rahane,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,60,34,34,Mumbai Indians,31.0,29.2,35.93048844644336,7.0,32,22.0,1.7647058823529411,1.0607709750566894,15.6,36.5
43,2017-06-05,AM Rahane,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,Rising Pune Supergiant,Sunrisers Hyderabad,22,20,20,Sunrisers Hyderabad,28.2,35.2,32.08114711166046,49.0,33,19.0,1.1,1.111671335200747,18.5,9.0
4,2017-08-04,AM Rahane,Holkar Cricket Stadium,Rising Pune Supergiant,Rising Pune Supergiant,Kings XI Punjab,19,15,15,Kings XI Punjab,19.4,35.1,24.182638400306946,-38.0,34,10.0,1.2666666666666666,1.0173856209150327,12.0,18.4
9,2017-11-04,AM Rahane,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,10,10,10,Delhi Daredevils,23.2,32.3,21.741665069630702,-3.0,35,0.0,1.0,1.270718954248366,15.6,41.375
51,2017-12-05,AM Rahane,Feroz Shah Kotla,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,0,1,1,Delhi Daredevils,24.4,32.9,20.549939172659368,-9.0,36,5.0,0.0,1.270718954248366,30.5,41.375
7931,2018-06-05,AM Rahane,Holkar Cricket Stadium,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,5,7,7,Kings XI Punjab,22.2,26.6,22.80789337049785,-10.0,37,9.0,0.7142857142857143,1.0262745098039217,12.0,18.4
7933,2018-08-05,AM Rahane,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,9,10,10,Kings XI Punjab,11.2,19.7,9.25742944882649,5.0,38,15.0,0.9,0.8161904761904764,24.25,18.4
7897,2018-09-04,AM Rahane,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,15,14,14,Sunrisers Hyderabad,8.6,14.0,7.021395872616779,4.0,39,45.0,1.0714285714285714,0.7761904761904761,18.5,9.0
7899,2018-11-04,AM Rahane,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,45,40,40,Delhi Daredevils,7.8,15.5,5.6302753041036935,6.0,40,4.0,1.125,0.7371428571428571,24.25,41.375
7936,2018-11-05,AM Rahane,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,4,3,3,Chennai Super Kings,14.8,19.6,17.753872816937715,30.0,41,23.0,1.3333333333333333,0.7621428571428572,24.25,12.0
11150,2019-02-04,AM Rahane,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,23,21,21,Royal Challengers Bangalore,15.6,18.9,16.994116628998402,-41.0,42,2.0,1.0952380952380951,1.0288095238095238,24.25,40.333333333333336
11344,2019-04-05,AM Rahane,Feroz Shah Kotla Ground,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,2,4,4,Delhi Capitals,19.2,15.2,16.06860292620363,19.0,43,5.0,0.5,1.105,2.0,2.0
11312,2019-07-04,AM Rahane,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,5,7,7,Kolkata Knight Riders,17.8,13.2,17.42699056062176,-21.0,44,20.0,0.7142857142857143,1.025,24.25,20.5
518,2015-08-04,AT Rayudu,Eden Gardens,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,0,2,2,Kolkata Knight Riders,46.6,30.7,24.86563894212252,45.0,20,34.0,0.0,1.9773658352229784,10.5,20.5
559,2015-08-05,AT Rayudu,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,Mumbai Indians,34,19,19,Chennai Super Kings,34.8,30.0,30.800974010573107,-49.0,21,14.0,1.7894736842105263,1.715143613000756,26.666666666666668,33.333333333333336
562,2015-10-05,AT Rayudu,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,14,5,5,Royal Challengers Bangalore,28.0,31.0,24.80927246011056,34.0,22,13.0,2.8,1.7954873294346978,24.818181818181817,25.25
524,2015-12-04,AT Rayudu,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,13,19,19,Kings XI Punjab,20.2,29.8,20.78942038634074,-20.0,23,22.0,0.6842105263157895,1.9628947368421048,24.818181818181817,9.4
605,2016-01-05,AT Rayudu,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,22,19,19,Rising Pune Supergiants,22.0,30.3,19.3778223750761,-1.0,24,6.0,1.1578947368421053,1.299736842105263,22.0,22.0
613,2016-08-05,AT Rayudu,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,6,6,6,Sunrisers Hyderabad,16.6,31.6,12.521980673998817,9.0,25,22.0,1.0,1.2863157894736843,6.0,37.0
577,2016-09-04,AT Rayudu,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Rising Pune Supergiants,22,28,28,Rising Pune Supergiants,17.8,26.3,10.68644000591403,-16.0,26,44.0,0.7857142857142857,1.486315789473684,24.818181818181817,22.0
617,2016-11-05,AT Rayudu,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,44,48,48,Royal Challengers Bangalore,15.4,21.7,6.767569726275439,16.0,27,10.0,0.9166666666666666,1.285563909774436,44.0,25.25
2,2017-06-04,AT Rayudu,Maharashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,10,12,12,Rising Pune Supergiant,21.4,20.8,14.31083505599865,22.0,28,21.0,0.8333333333333334,0.9088972431077694,22.0,10.0
7926,2018-03-05,AT Rayudu,Eden Gardens,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,21,17,17,Kolkata Knight Riders,20.8,21.4,14.805404418657394,-34.0,29,34.0,1.2352941176470589,0.9387218045112782,10.5,20.5
7928,2018-05-05,AT Rayudu,Maharashtra Cricket Association Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,34,25,25,Royal Challengers Bangalore,20.6,18.6,14.791889669680472,11.0,30,22.0,1.36,0.9542016806722688,22.0,25.25
7894,2018-07-04,AT Rayudu,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,22,19,19,Mumbai Indians,26.2,22.0,13.084341787036898,13.0,31,39.0,1.1578947368421053,1.026201680672269,24.818181818181817,22.33333333333333
7898,2018-10-04,AT Rayudu,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,39,26,26,Kolkata Knight Riders,26.2,20.8,13.084341787036898,-12.0,32,12.0,1.5,1.100637770897833,26.666666666666668,20.5
7936,2018-11-05,AT Rayudu,Sawai Mansingh Stadium,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,12,9,9,Rajasthan Royals,25.2,23.3,11.476062042355816,17.0,33,7.0,1.3333333333333333,1.2173044375644997,36.5,42.0
11341,2019-01-05,AT Rayudu,M. A. Chidambaram Stadium,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,7,3,3,Delhi Capitals,25.6,23.2,10.830512453249844,-27.0,34,0.0,2.333333333333333,1.3173044375644996,23.75,13.5
11151,2019-03-04,AT Rayudu,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0,1,1,Mumbai Indians,22.8,21.7,13.736811857195974,-5.0,35,1.0,0.0,1.5369122807017543,24.818181818181817,22.33333333333333
11346,2019-05-05,AT Rayudu,IS Bindra Stadium,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,1,2,2,Kings XI Punjab,16.0,21.1,15.14925740754311,-7.0,36,21.0,0.5,1.2649122807017543,1.0,9.4
11309,2019-06-04,AT Rayudu,M. A. Chidambaram Stadium,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,21,15,15,Kings XI Punjab,11.8,19.0,15.959323293924456,1.0,37,45.0,1.4,1.1333333333333333,23.75,9.4
11412,2019-07-05,AT Rayudu,M. A. Chidambaram Stadium,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,45,38,38,Mumbai Indians,8.2,16.7,8.642916174532742,20.0,38,22.0,1.1842105263157894,1.1133333333333333,23.75,22.33333333333333
11314,2019-09-04,AT Rayudu,M. A. Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,22,31,31,Kolkata Knight Riders,14.8,20.2,18.846750383023583,24.0,39,20.0,0.7096774193548387,1.0835087719298246,23.75,20.5
11414,2019-10-05,AT Rayudu,ACA-VDCA Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,20,20,20,Delhi Capitals,17.8,20.3,18.485129158326156,-23.0,40,61.0,1.0,0.7587775891341255,20.0,13.5
11316,2019-11-04,AT Rayudu,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,61,48,48,Rajasthan Royals,21.8,18.9,15.610893632332514,-2.0,41,1.0,1.2708333333333333,0.9587775891341256,36.5,42.0
579,2016-11-04,BB McCullum,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,Kings XI Punjab,Gujarat Lions,0,2,2,Kings XI Punjab,9.8,27.7,11.5412304370028,22.0,20,45.0,0.0,0.5297619047619048,0.0,0.5
38,2017-01-05,BB McCullum,Maharashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,45,28,28,Rising Pune Supergiant,7.6,25.7,12.280065146406994,-29.0,21,1.0,1.6071428571428572,0.425,25.5,45.0
41,2017-04-05,BB McCullum,Feroz Shah Kotla,Gujarat Lions,Gujarat Lions,Delhi Daredevils,1,3,3,Delhi Daredevils,16.4,27.9,19.819182626939988,45.0,22,35.0,0.3333333333333333,0.6797619047619048,1.0,4.25
3,2017-07-04,BB McCullum,Saurashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions,Kolkata Knight Riders,35,24,24,Kolkata Knight Riders,16.4,27.6,19.819182626939988,-44.0,23,5.0,1.4583333333333333,0.6964285714285714,12.333333333333334,32.0
6,2017-09-04,BB McCullum,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Gujarat Lions,Sunrisers Hyderabad,5,10,10,Sunrisers Hyderabad,22.0,23.0,20.44504830026087,34.0,24,39.0,0.5,0.9214285714285714,6.0,37.333333333333336
7924,2018-01-05,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,39,25,25,Mumbai Indians,17.2,13.5,21.194338866782324,-30.0,25,6.0,1.56,0.7797619047619048,39.0,31.0
7928,2018-05-05,BB McCullum,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,6,4,4,Chennai Super Kings,25.0,16.3,20.44504830026087,34.0,26,48.0,1.5,1.091761904761905,25.5,6.0
522,2015-11-04,CH Gayle,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,96,57,57,Kolkata Knight Riders,34.8,36.1,46.424131655853294,-104.0,20,7.0,1.6842105263157894,1.1877142857142855,96.0,34.625
606,2016-02-05,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,7,7,7,Kolkata Knight Riders,53.2,45.3,49.30720028555667,83.0,21,5.0,1.0,1.4102706766917297,24.33333333333333,34.625
617,2016-11-05,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,5,6,6,Mumbai Indians,50.8,37.5,51.62557505732987,-89.0,22,1.0,0.8333333333333334,1.4582706766917295,24.33333333333333,28.5
580,2016-12-04,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,1,5,5,Sunrisers Hyderabad,47.6,34.7,54.35807207765927,-2.0,23,32.0,0.2,1.274937343358396,24.33333333333333,19.0
1,2017-05-04,CH Gayle,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,32,23,23,Sunrisers Hyderabad,24.4,32.1,40.25916044827562,-4.0,24,0.0,1.391304347826087,0.9435087719298249,32.0,19.0
42,2017-05-05,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,0,2,2,Kings XI Punjab,28.2,31.5,39.80829059379465,31.0,25,0.0,0.0,1.021769641495042,24.33333333333333,40.333333333333336
45,2017-07-05,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,1,Kolkata Knight Riders,9.0,31.1,13.171939872319491,-32.0,26,6.0,0.0,0.6849275362318841,24.33333333333333,34.625
5,2017-08-04,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,6,9,9,Delhi Daredevils,7.6,29.2,13.79492660364672,0.0,27,58.0,0.6666666666666666,0.484927536231884,24.33333333333333,5.0
7927,2018-04-05,CH Gayle,Holkar Cricket Stadium,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,58,44,44,Mumbai Indians,7.8,27.7,13.75499909123952,6.0,28,8.0,1.318181818181818,0.4515942028985507,29.0,28.5
7931,2018-06-05,CH Gayle,Holkar Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,8,11,11,Rajasthan Royals,19.2,21.8,25.400787389370432,52.0,29,2.0,0.7272727272727273,0.6752305665349143,29.0,9.666666666666666
7933,2018-08-05,CH Gayle,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,2,2,2,Rajasthan Royals,14.4,21.3,24.63331078032346,-50.0,30,21.0,1.0,0.5424242424242424,2.0,9.666666666666666
7937,2018-12-05,CH Gayle,Holkar Cricket Stadium,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,21,17,17,Kolkata Knight Riders,14.8,11.9,24.355697485393435,-6.0,31,14.0,1.2352941176470589,0.7424242424242424,29.0,34.625
11343,2019-03-05,CH Gayle,IS Bindra Stadium,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,14,14,14,Kolkata Knight Riders,19.0,13.3,22.93468988235943,19.0,32,33.0,1.0,0.9894830659536542,21.0,34.625
11346,2019-05-05,CH Gayle,IS Bindra Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,33,32,32,Chennai Super Kings,20.6,14.2,22.063544592834575,-7.0,33,6.0,1.03125,1.0561497326203209,21.0,19.5
11309,2019-06-04,CH Gayle,M. A. Chidambaram Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,6,8,8,Chennai Super Kings,15.6,17.4,12.0124934963562,19.0,34,16.0,0.75,0.9987633689839572,6.0,19.5
11313,2019-08-04,CH Gayle,IS Bindra Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,16,14,14,Sunrisers Hyderabad,15.2,14.8,12.357184145265457,-27.0,35,65.0,1.1428571428571428,1.0033088235294116,21.0,19.0
561,2015-09-05,DA Warner,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,17,16,16,Delhi Daredevils,31.2,28.8,25.56755756813701,20.0,20,53.0,1.0625,1.4502776828434722,17.0,26.25
521,2015-11-04,DA Warner,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,53,43,43,Chennai Super Kings,32.2,24.4,24.71234509309062,-7.0,21,81.0,1.2325581395348837,1.444595864661654,53.0,57.0
564,2015-11-05,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,81,54,54,Kings XI Punjab,31.8,29.3,24.263140769488192,36.0,22,24.0,1.5,1.347357492568631,44.77777777777778,81.0
610,2016-06-05,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,24,18,18,Gujarat Lions,35.8,37.4,30.9951609126328,28.0,23,48.0,1.3333333333333333,1.211643206854345,44.77777777777778,50.0
613,2016-08-05,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,48,35,35,Mumbai Indians,39.8,33.7,26.883080180663818,-57.0,24,11.0,1.3714285714285714,1.2783098735210117,29.5,39.333333333333336
616,2016-10-05,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiants,11,15,15,Rising Pune Supergiants,44.6,37.9,25.461735997374564,24.0,25,58.0,0.7333333333333333,1.2999640088593576,29.5,11.0
580,2016-12-04,DA Warner,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,58,26,26,Royal Challengers Bangalore,43.4,37.8,27.171676429694205,-37.0,26,46.0,2.230769230769231,1.2341306755260244,59.5,34.25
618,2016-12-05,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,46,31,31,Delhi Daredevils,44.4,38.1,27.700180504827035,47.0,27,30.0,1.4838709677419355,1.4337728937728935,44.77777777777778,26.25
39,2017-02-05,DA Warner,Feroz Shah Kotla,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,30,21,21,Delhi Daredevils,37.4,36.6,19.28211606644872,-12.0,28,14.0,1.4285714285714286,1.4305470873212809,11.5,26.25
1,2017-05-04,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,14,9,9,Royal Challengers Bangalore,38.6,39.2,18.40652058374966,-16.0,29,40.0,1.5555555555555556,1.4495947063689,44.77777777777778,34.25
43,2017-06-05,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,40,34,34,Rising Pune Supergiant,31.8,38.2,20.25339477717254,-16.0,30,6.0,1.1764705882352942,1.486420103194297,44.77777777777778,40.0
47,2017-08-05,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,6,6,6,Mumbai Indians,37.6,40.5,16.637307474468333,26.0,31,76.0,1.0,1.575047554174689,44.77777777777778,39.333333333333336
6,2017-09-04,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,76,47,47,Gujarat Lions,27.2,35.8,16.946976131451894,-34.0,32,49.0,1.6170212765957446,1.3288937080208427,44.77777777777778,50.0
10,2017-12-04,DA Warner,Wankhede Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,49,34,34,Mumbai Indians,33.2,35.3,27.371518043396865,70.0,33,14.0,1.4411764705882353,1.3555237697916045,55.0,39.333333333333336
11152,2019-04-04,DA Warner,Feroz Shah Kotla Ground,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,14,18,18,Delhi Capitals,37.0,37.8,28.124722220850465,-27.0,34,17.0,0.7777777777777778,1.358044778194966,14.0,14.0
