batter,date,venue,bowling_team,recent_wicket_rate,venue_wicket_rate,opponent_wicket_rate,career_wicket_rate,strike_rate,future_wicket
JH Kallis,2008-05-05,M Chinnaswamy Stadium,Kings XI Punjab,0.8333333333333334,0.8125,0.7272727272727273,0.9468085106382979,25.71276595744681,1
MS Dhoni,2008-05-06,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,1.0,0.8372093023255814,1.0,0.6519823788546255,22.986784140969164,1
PA Patel,2008-05-06,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,1.0,1.1,1.0,0.9333333333333333,21.096296296296295,0
RG Sharma,2008-05-06,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0.8333333333333334,1.1666666666666667,0.9411764705882353,0.924,26.248,1
AC Gilchrist,2008-05-06,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0.8333333333333334,1.0,0.9,0.9493670886075949,26.126582278481013,1
SK Raina,2008-05-06,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,0.6666666666666666,0.8478260869565217,1.0,0.8391959798994975,27.804020100502512,1
SR Watson,2008-05-07,Dr DY Patil Sports Academy,Mumbai Indians,0.5,1.0,1.0454545454545454,0.8928571428571429,27.614285714285714,0
ST Jayasuriya,2008-05-07,Dr DY Patil Sports Academy,Rajasthan Royals,1.1666666666666667,1.0,1.0,0.9655172413793104,26.448275862068964,0
AM Nayar,2008-05-07,Dr DY Patil Sports Academy,Rajasthan Royals,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7959183673469388,13.489795918367347,1
YK Pathan,2008-05-07,Dr DY Patil Sports Academy,Mumbai Indians,1.0,0.6666666666666666,0.7272727272727273,0.7236842105263158,21.17763157894737,1
M Kaif,2008-05-07,Dr DY Patil Sports Academy,Mumbai Indians,0.8333333333333334,1.0,0.5,0.7142857142857143,11.666666666666666,0
DJ Bravo,2008-05-07,Dr DY Patil Sports Academy,Rajasthan Royals,0.8333333333333334,1.0,0.4166666666666667,0.6238532110091743,14.20183486238532,1
RV Uthappa,2008-05-07,Dr DY Patil Sports Academy,Rajasthan Royals,0.8333333333333334,0.7272727272727273,0.8235294117647058,0.9336734693877551,25.270408163265305,0
R Dravid,2008-05-08,Eden Gardens,Kolkata Knight Riders,1.1666666666666667,0.75,0.9,0.9382716049382716,26.308641975308642,1
DJ Hussey,2008-05-08,Eden Gardens,Royal Challengers Bangalore,0.8333333333333334,0.6923076923076923,0.875,0.8,22.016666666666666,0
SK Raina,2008-05-08,Feroz Shah Kotla,Delhi Daredevils,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.8391959798994975,27.804020100502512,1
G Gambhir,2008-05-08,Feroz Shah Kotla,Chennai Super Kings,1.1666666666666667,1.0555555555555556,0.875,0.8933333333333333,28.086666666666666,1
S Dhawan,2008-05-08,Feroz Shah Kotla,Chennai Super Kings,0.6666666666666666,0.9230769230769231,0.7931034482758621,0.8772727272727273,30.704545454545453,1
MS Dhoni,2008-05-08,Feroz Shah Kotla,Delhi Daredevils,0.8333333333333334,0.8333333333333334,0.8947368421052632,0.6519823788546255,22.986784140969164,0
V Sehwag,2008-05-08,Feroz Shah Kotla,Chennai Super Kings,0.8333333333333334,0.8484848484848485,1.0,0.941747572815534,26.466019417475728,1
S Badrinath,2008-05-08,Feroz Shah Kotla,Delhi Daredevils,0.3333333333333333,0.6666666666666666,0.75,0.734375,22.515625,1
LR Shukla,2008-05-08,Eden Gardens,Royal Challengers Bangalore,0.6666666666666666,0.8333333333333334,1.0,0.875,12.0,0
SC Ganguly,2008-05-08,Eden Gardens,Royal Challengers Bangalore,1.1666666666666667,0.8666666666666667,1.0,0.9636363636363636,24.436363636363637,1
P Kumar,2008-05-08,Eden Gardens,Kolkata Knight Riders,0.6666666666666666,0.4,0.42857142857142855,0.5892857142857143,6.053571428571429,1
MV Boucher,2008-05-08,Eden Gardens,Kolkata Knight Riders,0.6666666666666666,1.0,0.5,0.6818181818181818,17.863636363636363,1
GC Smith,2008-05-09,Sawai Mansingh Stadium,Deccan Chargers,0.8333333333333334,1.0,1.0,1.0357142857142858,26.178571428571427,3
Shahid Afridi,2008-05-09,Sawai Mansingh Stadium,Rajasthan Royals,0.8333333333333334,1.0,1.0,0.875,10.0,1
AC Gilchrist,2008-05-09,Sawai Mansingh Stadium,Rajasthan Royals,0.8333333333333334,1.0,1.0,0.9493670886075949,26.126582278481013,1
YK Pathan,2008-05-09,Sawai Mansingh Stadium,Deccan Chargers,1.0,0.8333333333333334,0.8888888888888888,0.7236842105263158,21.17763157894737,0
SR Watson,2008-05-09,Sawai Mansingh Stadium,Deccan Chargers,0.5,0.7931034482758621,0.75,0.8928571428571429,27.614285714285714,0
M Kaif,2008-05-09,Sawai Mansingh Stadium,Deccan Chargers,0.6666666666666666,0.4,0.5,0.7142857142857143,11.666666666666666,0
RG Sharma,2008-05-09,Sawai Mansingh Stadium,Rajasthan Royals,0.8333333333333334,1.0,1.0714285714285714,0.924,26.248,1
DPMD Jayawardene,2008-05-10,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0.6666666666666666,1.25,1.0,0.8181818181818182,23.2987012987013,0
S Badrinath,2008-05-10,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,0.5,0.76,0.75,0.734375,22.515625,1
K Goel,2008-05-10,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0.8333333333333334,1.0,1.0,0.8666666666666667,14.466666666666667,1
MS Dhoni,2008-05-10,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,0.8333333333333334,0.8372093023255814,0.5238095238095238,0.6519823788546255,22.986784140969164,0
IK Pathan,2008-05-10,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0.6666666666666666,0.6,0.5,0.6419753086419753,14.17283950617284,0
SK Raina,2008-05-10,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,0.6666666666666666,0.8478260869565217,0.7391304347826086,0.8391959798994975,27.804020100502512,1
Yuvraj Singh,2008-05-10,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0.8333333333333334,1.0,0.8,0.864,22.0,1
LR Shukla,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0.6666666666666666,0.0,0.3333333333333333,0.875,12.0,1
YK Pathan,2008-05-11,Sawai Mansingh Stadium,Delhi Daredevils,0.8333333333333334,0.8333333333333334,0.631578947368421,0.7236842105263158,21.17763157894737,0
M Kaif,2008-05-11,Sawai Mansingh Stadium,Delhi Daredevils,0.5,0.4,0.75,0.7142857142857143,11.666666666666666,0
V Sehwag,2008-05-11,Sawai Mansingh Stadium,Rajasthan Royals,1.0,1.0,0.9333333333333333,0.941747572815534,26.466019417475728,1
SR Watson,2008-05-11,Sawai Mansingh Stadium,Delhi Daredevils,0.3333333333333333,0.7931034482758621,0.6923076923076923,0.8928571428571429,27.614285714285714,0
AC Gilchrist,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,0.8333333333333334,1.0,0.9090909090909091,0.9493670886075949,26.126582278481013,1
SC Ganguly,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,1.1666666666666667,0.5,0.9,0.9636363636363636,24.436363636363637,1
G Gambhir,2008-05-11,Sawai Mansingh Stadium,Rajasthan Royals,1.1666666666666667,0.75,0.8125,0.8933333333333333,28.086666666666666,1
SB Bangar,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,0.8333333333333334,1.0,1.0,0.8333333333333334,7.833333333333333,0
S Dhawan,2008-05-11,Sawai Mansingh Stadium,Rajasthan Royals,0.8333333333333334,1.0,0.9166666666666666,0.8772727272727273,30.704545454545453,1
GC Smith,2008-05-11,Sawai Mansingh Stadium,Delhi Daredevils,1.1666666666666667,1.0,1.1666666666666667,1.0357142857142858,26.178571428571427,0
RA Jadeja,2008-05-11,Sawai Mansingh Stadium,Delhi Daredevils,0.8333333333333334,0.625,0.75,0.6368715083798883,16.29608938547486,0
RG Sharma,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,0.8333333333333334,0.6923076923076923,0.8181818181818182,0.924,26.248,1
DJ Hussey,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0.8333333333333334,0.6666666666666666,0.5,0.8,22.016666666666666,1
MV Boucher,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,0.8333333333333334,1.0,1.0,0.6818181818181818,17.863636363636363,1
V Kohli,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1.0,1.0,0.96,0.8930041152263375,32.84362139917695,1
R Dravid,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1.1666666666666667,1.0,1.125,0.9382716049382716,26.308641975308642,0
P Kumar,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,0.6666666666666666,0.5714285714285714,0.8,0.5892857142857143,6.053571428571429,1
JR Hopes,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,1.0,1.0,1.3333333333333333,0.8888888888888888,22.77777777777778,1
DJ Hussey,2008-05-13,Eden Gardens,Delhi Daredevils,0.8333333333333334,0.6923076923076923,1.1428571428571428,0.8,22.016666666666666,1
WP Saha,2008-05-13,Eden Gardens,Delhi Daredevils,0.5,0.7142857142857143,0.7,0.8450704225352113,20.654929577464788,1
G Gambhir,2008-05-13,Eden Gardens,Kolkata Knight Riders,1.1666666666666667,0.8723404255319149,0.8333333333333334,0.8933333333333333,28.086666666666666,1
V Sehwag,2008-05-13,Eden Gardens,Kolkata Knight Riders,1.0,1.0,1.0769230769230769,0.941747572815534,26.466019417475728,1
SC Ganguly,2008-05-13,Eden Gardens,Delhi Daredevils,1.1666666666666667,0.8666666666666667,1.0,0.9636363636363636,24.436363636363637,2
S Dhawan,2008-05-13,Eden Gardens,Kolkata Knight Riders,0.8333333333333334,0.8,0.9354838709677419,0.8772727272727273,30.704545454545453,1
LR Shukla,2008-05-13,Eden Gardens,Delhi Daredevils,0.6666666666666666,0.8333333333333334,1.0,0.875,12.0,1
RV Uthappa,2008-05-14,Wankhede Stadium,Chennai Super Kings,0.6666666666666666,1.0833333333333333,0.8636363636363636,0.9336734693877551,25.270408163265305,1
ST Jayasuriya,2008-05-14,Wankhede Stadium,Chennai Super Kings,0.8333333333333334,0.5,1.0,0.9655172413793104,26.448275862068964,0
JA Morkel,2008-05-14,Wankhede Stadium,Mumbai Indians,0.8333333333333334,0.75,0.8333333333333334,0.5909090909090909,14.530303030303031,1
S Badrinath,2008-05-14,Wankhede Stadium,Mumbai Indians,0.6666666666666666,0.6,0.6923076923076923,0.734375,22.515625,1
MS Dhoni,2008-05-14,Wankhede Stadium,Mumbai Indians,0.6666666666666666,0.7857142857142857,0.6388888888888888,0.6519823788546255,22.986784140969164,1
SK Raina,2008-05-14,Wankhede Stadium,Mumbai Indians,0.8333333333333334,0.75,0.8529411764705882,0.8391959798994975,27.804020100502512,0
SP Fleming,2008-05-14,Wankhede Stadium,Mumbai Indians,1.0,1.0,1.0,0.8888888888888888,20.22222222222222,0
AC Gilchrist,2008-05-15,Feroz Shah Kotla,Delhi Daredevils,1.0,1.0,1.0,0.9493670886075949,26.126582278481013,1
V Sehwag,2008-05-15,Feroz Shah Kotla,Deccan Chargers,1.1666666666666667,0.8484848484848485,0.9090909090909091,0.941747572815534,26.466019417475728,0
RG Sharma,2008-05-15,Feroz Shah Kotla,Delhi Daredevils,0.8333333333333334,1.0,0.9565217391304348,0.924,26.248,1
SB Styris,2008-05-15,Feroz Shah Kotla,Delhi Daredevils,0.8333333333333334,1.0,1.0,0.7777777777777778,14.0,0
HH Gibbs,2008-05-15,Feroz Shah Kotla,Delhi Daredevils,1.0,1.0,1.0,0.8857142857142857,24.942857142857143,1
Y Venugopal Rao,2008-05-15,Feroz Shah Kotla,Delhi Daredevils,0.6666666666666666,0.8,1.0,0.803921568627451,18.784313725490197,1
Shahid Afridi,2008-05-15,Feroz Shah Kotla,Delhi Daredevils,0.8333333333333334,1.0,1.0,0.875,10.0,1
S Dhawan,2008-05-15,Feroz Shah Kotla,Deccan Chargers,0.8333333333333334,0.9230769230769231,0.8,0.8772727272727273,30.704545454545453,1
G Gambhir,2008-05-15,Feroz Shah Kotla,Deccan Chargers,1.0,1.0555555555555556,1.0,0.8933333333333333,28.086666666666666,1
RP Singh,2008-05-15,Feroz Shah Kotla,Delhi Daredevils,0.5,0.5,0.42857142857142855,0.5555555555555556,1.8888888888888888,0
ST Jayasuriya,2008-05-16,Wankhede Stadium,Kolkata Knight Riders,0.6666666666666666,0.5,0.75,0.9655172413793104,26.448275862068964,1
DJ Hussey,2008-05-16,Wankhede Stadium,Mumbai Indians,0.8333333333333334,1.0,0.6666666666666666,0.8,22.016666666666666,1
LR Shukla,2008-05-16,Wankhede Stadium,Mumbai Indians,0.8333333333333334,1.0,0.75,0.875,12.0,0
SC Ganguly,2008-05-16,Wankhede Stadium,Mumbai Indians,1.3333333333333333,1.5,1.125,0.9636363636363636,24.436363636363637,1
RV Uthappa,2008-05-16,Wankhede Stadium,Kolkata Knight Riders,0.5,1.0833333333333333,0.8571428571428571,0.9336734693877551,25.270408163265305,1
Mohammad Hafeez,2008-05-16,Wankhede Stadium,Mumbai Indians,1.0,1.0,1.5,1.0,8.571428571428571,1
WP Saha,2008-05-16,Wankhede Stadium,Mumbai Indians,0.5,0.8333333333333334,0.7777777777777778,0.8450704225352113,20.654929577464788,0
Yuvraj Singh,2008-05-17,Feroz Shah Kotla,Delhi Daredevils,0.8333333333333334,0.8888888888888888,0.6470588235294118,0.864,22.0,1
G Gambhir,2008-05-17,Feroz Shah Kotla,Kings XI Punjab,1.0,1.0555555555555556,0.7272727272727273,0.8933333333333333,28.086666666666666,1
SE Marsh,2008-05-17,Feroz Shah Kotla,Delhi Daredevils,0.8333333333333334,1.0,1.0,0.9411764705882353,36.455882352941174,1
Z Khan,2008-05-17,Sawai Mansingh Stadium,Rajasthan Royals,0.6666666666666666,1.0,0.6666666666666666,0.5769230769230769,4.461538461538462,0
V Sehwag,2008-05-17,Feroz Shah Kotla,Kings XI Punjab,1.0,0.8484848484848485,0.8,0.941747572815534,26.466019417475728,1
SR Watson,2008-05-17,Sawai Mansingh Stadium,Royal Challengers Bangalore,0.3333333333333333,0.7931034482758621,0.8666666666666667,0.8928571428571429,27.614285714285714,1
GC Smith,2008-05-17,Sawai Mansingh Stadium,Royal Challengers Bangalore,1.0,1.0,0.75,1.0357142857142858,26.178571428571427,1
V Kohli,2008-05-17,Sawai Mansingh Stadium,Rajasthan Royals,1.0,1.0,0.8620689655172413,0.8930041152263375,32.84362139917695,1
JR Hopes,2008-05-17,Feroz Shah Kotla,Delhi Daredevils,1.0,1.0,1.0,0.8888888888888888,22.77777777777778,1
P Kumar,2008-05-17,Sawai Mansingh Stadium,Rajasthan Royals,0.8333333333333334,1.0,0.8571428571428571,0.5892857142857143,6.053571428571429,1
DPMD Jayawardene,2008-05-17,Feroz Shah Kotla,Delhi Daredevils,0.5,0.7647058823529411,0.8571428571428571,0.8181818181818182,23.2987012987013,1
JH Kallis,2008-05-17,Sawai Mansingh Stadium,Rajasthan Royals,0.8333333333333334,1.0,0.9166666666666666,0.9468085106382979,25.71276595744681,1
R Dravid,2008-05-17,Sawai Mansingh Stadium,Rajasthan Royals,1.0,0.9166666666666666,0.6,0.9382716049382716,26.308641975308642,1
S Dhawan,2008-05-17,Feroz Shah Kotla,Kings XI Punjab,1.0,0.9230769230769231,0.9166666666666666,0.8772727272727273,30.704545454545453,0
Mohammad Hafeez,2008-05-18,Eden Gardens,Chennai Super Kings,1.1666666666666667,1.3333333333333333,1.0,1.0,8.571428571428571,0
SC Ganguly,2008-05-18,Eden Gardens,Chennai Super Kings,1.1666666666666667,0.8666666666666667,0.8571428571428571,0.9636363636363636,24.436363636363637,1
DJ Bravo,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0.8333333333333334,0.6666666666666666,0.75,0.6238532110091743,14.20183486238532,1
RV Uthappa,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0.5,1.0,0.9,0.9336734693877551,25.270408163265305,2
LR Shukla,2008-05-18,Eden Gardens,Chennai Super Kings,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.875,12.0,1
WP Saha,2008-05-18,Eden Gardens,Chennai Super Kings,0.3333333333333333,0.7142857142857143,0.8125,0.8450704225352113,20.654929577464788,1
RP Singh,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5555555555555556,1.8888888888888888,1
RG Sharma,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,1.0,0.6923076923076923,1.0,0.924,26.248,1
PA Patel,2008-05-18,Eden Gardens,Kolkata Knight Riders,0.8333333333333334,0.8333333333333334,0.875,0.9333333333333333,21.096296296296295,1
AM Nayar,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7959183673469388,13.489795918367347,1
DJ Hussey,2008-05-18,Eden Gardens,Chennai Super Kings,0.8333333333333334,0.6923076923076923,0.875,0.8,22.016666666666666,1
AC Gilchrist,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,1.0,1.0,1.0,0.9493670886075949,26.126582278481013,1
Y Venugopal Rao,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,0.6666666666666666,0.8571428571428571,1.0,0.803921568627451,18.784313725490197,1
Shahid Afridi,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,0.8333333333333334,1.0,1.0,0.875,10.0,0
ST Jayasuriya,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0.6666666666666666,1.0,1.0,0.9655172413793104,26.448275862068964,1
SP Fleming,2008-05-18,Eden Gardens,Kolkata Knight Riders,0.8333333333333334,0.0,0.0,0.8888888888888888,20.22222222222222,1
Z Khan,2008-05-19,M Chinnaswamy Stadium,Delhi Daredevils,0.5,0.5,0.0,0.5769230769230769,4.461538461538462,1
KD Karthik,2008-05-19,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8333333333333334,0.9285714285714286,0.875,0.8103448275862069,20.82758620689655,1
CL White,2008-05-19,M Chinnaswamy Stadium,Delhi Daredevils,0.6666666666666666,0.7142857142857143,0.6,0.7727272727272727,21.363636363636363,0
AB de Villiers,2008-05-19,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.6666666666666666,0.717391304347826,1.0,0.7337278106508875,30.59171597633136,0
G Gambhir,2008-05-19,M Chinnaswamy Stadium,Royal Challengers Bangalore,1.0,0.9,1.0,0.8933333333333333,28.086666666666666,1
MF Maharoof,2008-05-19,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8333333333333334,0.0,0.0,0.6923076923076923,13.615384615384615,0
JH Kallis,2008-05-19,M Chinnaswamy Stadium,Delhi Daredevils,0.8333333333333334,0.8125,0.9230769230769231,0.9468085106382979,25.71276595744681,1
P Kumar,2008-05-19,M Chinnaswamy Stadium,Delhi Daredevils,0.8333333333333334,0.7272727272727273,0.5,0.5892857142857143,6.053571428571429,1
R Dravid,2008-05-19,M Chinnaswamy Stadium,Delhi Daredevils,1.0,1.0714285714285714,1.0,0.9382716049382716,26.308641975308642,1
V Sehwag,2008-05-19,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8333333333333334,1.0,0.8333333333333334,0.941747572815534,26.466019417475728,1
S Dhawan,2008-05-19,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8333333333333334,0.7142857142857143,0.875,0.8772727272727273,30.704545454545453,1
Salman Butt,2008-05-20,Eden Gardens,Rajasthan Royals,1.0,1.0,1.0,1.0,28.166666666666668,0
DJ Hussey,2008-05-20,Eden Gardens,Rajasthan Royals,0.8333333333333334,0.6923076923076923,1.1428571428571428,0.8,22.016666666666666,1
AB Agarkar,2008-05-20,Eden Gardens,Rajasthan Royals,0.6666666666666666,0.3333333333333333,0.25,0.47058823529411764,10.0,1
LR Shukla,2008-05-20,Eden Gardens,Rajasthan Royals,0.6666666666666666,0.8333333333333334,1.0,0.875,12.0,1
SR Watson,2008-05-20,Eden Gardens,Kolkata Knight Riders,0.3333333333333333,1.0,0.9375,0.8928571428571429,27.614285714285714,2
M Kaif,2008-05-20,Eden Gardens,Kolkata Knight Riders,0.3333333333333333,0.0,0.6666666666666666,0.7142857142857143,11.666666666666666,1
WP Saha,2008-05-20,Eden Gardens,Rajasthan Royals,0.3333333333333333,0.7142857142857143,0.8,0.8450704225352113,20.654929577464788,1
GC Smith,2008-05-20,Eden Gardens,Kolkata Knight Riders,1.0,1.0,1.0,1.0357142857142858,26.178571428571427,2
YK Pathan,2008-05-20,Eden Gardens,Kolkata Knight Riders,0.6666666666666666,0.7073170731707317,0.8,0.7236842105263158,21.17763157894737,1
SC Ganguly,2008-05-20,Eden Gardens,Rajasthan Royals,1.1666666666666667,0.8666666666666667,1.0,0.9636363636363636,24.436363636363637,0
ST Jayasuriya,2008-05-21,Wankhede Stadium,Kings XI Punjab,0.6666666666666666,0.5,1.0,0.9655172413793104,26.448275862068964,1
JR Hopes,2008-05-21,Wankhede Stadium,Mumbai Indians,1.0,1.0,1.0,0.8888888888888888,22.77777777777778,1
MS Dhoni,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,0.6666666666666666,0.8372093023255814,0.7741935483870968,0.6519823788546255,22.986784140969164,1
SE Marsh,2008-05-21,Wankhede Stadium,Mumbai Indians,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9411764705882353,36.455882352941174,1
RV Uthappa,2008-05-21,Wankhede Stadium,Kings XI Punjab,0.8333333333333334,1.0833333333333333,1.0,0.9336734693877551,25.270408163265305,1
SP Fleming,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,0.8333333333333334,1.0,1.0,0.8888888888888888,20.22222222222222,1
S Vidyut,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,1.0,1.0,1.0,1.0,18.428571428571427,1
S Badrinath,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,0.8333333333333334,0.76,0.8888888888888888,0.734375,22.515625,1
Yuvraj Singh,2008-05-21,Wankhede Stadium,Mumbai Indians,1.0,0.8888888888888888,0.8947368421052632,0.864,22.0,1
AM Nayar,2008-05-21,Wankhede Stadium,Kings XI Punjab,0.8333333333333334,1.0,1.0,0.7959183673469388,13.489795918367347,1
P Kumar,2008-05-21,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0.8333333333333334,0.5,0.42857142857142855,0.5892857142857143,6.053571428571429,1
R Dravid,2008-05-21,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1.0,1.0,1.0,0.9382716049382716,26.308641975308642,1
SK Raina,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,0.8333333333333334,0.8478260869565217,0.7931034482758621,0.8391959798994975,27.804020100502512,1
SM Pollock,2008-05-21,Wankhede Stadium,Kings XI Punjab,1.0,1.0,1.0,1.0,21.0,1
MV Boucher,2008-05-21,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0.8333333333333334,1.0,0.75,0.6818181818181818,17.863636363636363,1
PA Patel,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,0.8333333333333334,1.1,0.8125,0.9333333333333333,21.096296296296295,1
IK Pathan,2008-05-21,Wankhede Stadium,Mumbai Indians,0.5,0.5,0.7272727272727273,0.6419753086419753,14.17283950617284,1
