batter,date,venue,bowling_team,recent_form,venue_performance,opponent_performance,overall_average,future_runs
Harbhajan Singh,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,9.465909090909092,11.67741935483871,6.9,9.465909090909092,28.0
DJ Hussey,2008-04-20,Eden Gardens,Deccan Chargers,21.672131147540984,20.384615384615383,41.666666666666664,21.672131147540984,0.0
MV Boucher,2008-04-20,Wankhede Stadium,Mumbai Indians,17.130434782608695,39.0,35.0,17.130434782608695,4.0
VVS Laxman,2008-04-20,Eden Gardens,Kolkata Knight Riders,14.1,0.0,10.666666666666666,14.1,2.0
LRPL Taylor,2008-04-20,Wankhede Stadium,Mumbai Indians,18.833333333333332,12.666666666666666,15.25,18.833333333333332,44.0
Y Venugopal Rao,2008-04-20,Eden Gardens,Kolkata Knight Riders,18.942307692307693,20.5,25.166666666666668,18.942307692307693,14.0
WPUJC Vaas,2008-04-20,Eden Gardens,Kolkata Knight Riders,7.363636363636363,0.0,3.0,7.363636363636363,12.0
AC Gilchrist,2008-04-20,Eden Gardens,Kolkata Knight Riders,25.8625,18.0,24.636363636363637,25.8625,8.0
V Kohli,2008-04-20,Wankhede Stadium,Mumbai Indians,32.84426229508197,40.0,26.875,32.84426229508197,13.0
DJ Thornely,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,9.75,0.5,0.0,9.75,30.0
SB Bangar,2008-04-20,Eden Gardens,Kolkata Knight Riders,7.0,14.0,8.0,7.0,8.0
L Ronchi,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,6.8,8.0,8.0,6.8,2.0
S Chanderpaul,2008-04-20,Wankhede Stadium,Mumbai Indians,8.333333333333334,16.0,16.0,8.333333333333334,2.0
SB Styris,2008-04-20,Eden Gardens,Kolkata Knight Riders,13.1,6.0,5.333333333333333,13.1,2.0
WP Saha,2008-04-20,Eden Gardens,Deccan Chargers,20.517482517482517,19.928571428571427,9.0,20.517482517482517,27.0
LR Shukla,2008-04-20,Eden Gardens,Deccan Chargers,12.272727272727273,12.75,8.666666666666666,12.272727272727273,42.0
PP Chawla,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,7.255813953488372,12.75,6.071428571428571,7.255813953488372,0.0
SR Watson,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,27.5177304964539,30.17241379310345,26.41176470588235,27.5177304964539,4.0
DPMD Jayawardene,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,23.17948717948718,18.6,14.818181818181818,23.17948717948718,12.0
M Kaif,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,11.772727272727273,11.2,6.0,11.772727272727273,34.0
Yuvraj Singh,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,21.857142857142858,26.75,29.53846153846154,21.857142857142858,18.0
WA Mota,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,7.0,1.0,1.0,7.0,25.0
S Sohal,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,18.4,4.0,2.0,18.4,0.0
RA Jadeja,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,16.43888888888889,19.625,18.266666666666666,16.43888888888889,1.0
IK Pathan,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,14.024390243902438,15.0,14.777777777777779,14.024390243902438,6.0
YK Pathan,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,21.058823529411764,17.25,16.789473684210527,21.058823529411764,61.0
B Lee,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,6.526315789473684,10.0,10.0,6.526315789473684,16.0
KC Sangakkara,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,24.808823529411764,19.25,22.125,24.808823529411764,94.0
K Goel,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,13.625,26.0,13.5,13.625,18.0
Kamran Akmal,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,21.333333333333332,16.5,19.5,21.333333333333332,12.0
JR Hopes,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,21.94736842105263,16.0,33.5,21.94736842105263,18.0
RP Singh,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,1.8571428571428572,3.8333333333333335,0.8571428571428571,1.8571428571428572,2.0
VVS Laxman,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,14.1,22.0,2.0,14.1,16.0
AC Gilchrist,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,25.8625,22.444444444444443,26.75,25.8625,13.0
AS Yadav,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,8.166666666666666,9.0,12.0,8.166666666666666,16.0
S Dhawan,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,30.6289592760181,29.256410256410255,23.6,30.6289592760181,0.0
A Symonds,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,27.055555555555557,57.666666666666664,28.333333333333332,27.055555555555557,117.0
G Gambhir,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,27.927152317880793,27.333333333333332,25.0,27.927152317880793,18.0
Shahid Afridi,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,9.0,5.2,17.5,9.0,10.0
RG Sharma,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,26.41434262948207,33.0,30.47826086956522,26.41434262948207,36.0
Y Venugopal Rao,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,18.942307692307693,31.142857142857142,13.2,18.942307692307693,1.0
V Sehwag,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,26.23076923076923,45.8,28.818181818181817,26.23076923076923,6.0
WPUJC Vaas,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,7.363636363636363,7.0,7.0,7.363636363636363,9.0
SB Bangar,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,7.0,4.333333333333333,8.0,7.0,3.0
Harbhajan Singh,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,9.465909090909092,23.75,10.6875,9.465909090909092,0.0
A Nehra,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2.411764705882353,0.3333333333333333,0.5,2.411764705882353,2.0
L Ronchi,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,6.8,2.0,2.0,6.8,11.0
MS Dhoni,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,22.99561403508772,26.627906976744185,21.333333333333332,22.99561403508772,43.0
ML Hayden,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,34.59375,31.444444444444443,42.833333333333336,34.59375,70.0
DJ Bravo,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,14.181818181818182,12.714285714285714,9.4,14.181818181818182,23.0
MEK Hussey,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,34.08620689655172,40.38095238095238,25.8,34.08620689655172,47.0
RV Uthappa,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,25.14720812182741,22.833333333333332,24.863636363636363,25.14720812182741,21.0
MA Khote,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,8.0,9.0,9.0,8.0,8.0
PA Patel,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,20.941176470588236,24.7,19.09090909090909,20.941176470588236,21.0
AM Nayar,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,13.44,22.5,18.375,13.44,2.0
JDP Oram,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,9.636363636363637,5.0,6.5,9.636363636363637,8.0
ST Jayasuriya,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,25.6,20.0,47.5,25.6,1.0
S Badrinath,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,22.16923076923077,17.52,22.928571428571427,22.16923076923077,11.0
SK Raina,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,27.68,28.304347826086957,24.235294117647058,27.68,28.0
SM Pollock,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,18.375,17.0,17.0,18.375,22.0
Shahid Afridi,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,9.0,5.2,5.5,9.0,13.0
Kamran Akmal,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,21.333333333333332,12.0,12.0,21.333333333333332,53.0
A Symonds,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,27.055555555555557,57.666666666666664,40.2,27.055555555555557,60.0
D Salunkhe,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,11.0,1.0,1.0,11.0,6.0
VVS Laxman,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,14.1,22.0,10.0,14.1,37.0
YK Pathan,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,21.058823529411764,41.6,34.666666666666664,21.058823529411764,21.0
SK Warne,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,7.333333333333333,22.0,11.0,7.333333333333333,7.0
AC Gilchrist,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,25.8625,22.444444444444443,25.5,25.8625,109.0
SR Watson,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,27.5177304964539,10.4,20.0,27.5177304964539,61.0
M Kaif,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,11.772727272727273,34.0,25.5,11.772727272727273,4.0
RA Jadeja,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,16.43888888888889,11.75,17.833333333333332,16.43888888888889,33.0
Pankaj Singh,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,1.4,4.0,4.0,1.4,1.0
GC Smith,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,25.482758620689655,71.0,28.0,25.482758620689655,49.0
AS Yadav,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,8.166666666666666,9.0,16.0,8.166666666666666,3.0
RG Sharma,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,26.41434262948207,33.0,19.535714285714285,26.41434262948207,76.0
DPMD Jayawardene,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,23.17948717948718,15.125,26.1,23.17948717948718,15.0
RR Sarwan,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,18.25,7.0,7.0,18.25,15.0
B Lee,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,6.526315789473684,6.25,7.25,6.526315789473684,1.0
RV Uthappa,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,25.14720812182741,23.8,27.0,25.14720812182741,6.0
SS Tiwary,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,20.465753424657535,8.333333333333334,10.4,20.465753424657535,9.0
A Nehra,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,2.411764705882353,2.0,1.2,2.411764705882353,0.0
KC Sangakkara,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,24.808823529411764,37.09090909090909,37.375,24.808823529411764,4.0
K Goel,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,13.625,13.2,12.75,13.625,1.0
S Sohal,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,18.4,0.0,17.0,18.4,25.0
L Ronchi,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,6.8,11.0,11.0,6.8,13.0
DJ Bravo,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,14.181818181818182,23.0,18.727272727272727,14.181818181818182,34.0
AM Nayar,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,13.44,2.8,15.666666666666666,13.44,34.0
IK Pathan,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,14.024390243902438,13.11111111111111,7.583333333333333,14.024390243902438,10.0
VRV Singh,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,2.0,4.0,4.0,2.0,0.0
Yuvraj Singh,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,21.857142857142858,25.153846153846153,14.421052631578947,21.857142857142858,40.0
S Sreesanth,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,2.8333333333333335,5.0,0.5,2.8333333333333335,0.0
MA Khote,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,8.0,8.0,8.0,8.0,7.0
DS Kulkarni,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,5.2,2.0,3.75,5.2,7.0
SM Pollock,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,18.375,22.0,11.0,18.375,31.0
ST Jayasuriya,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,25.6,1.0,6.25,25.6,18.0
PP Chawla,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,7.255813953488372,8.0,6.555555555555555,7.255813953488372,21.0
Harbhajan Singh,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,9.465909090909092,5.25,11.333333333333334,9.465909090909092,4.0
SC Ganguly,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,24.089285714285715,15.333333333333334,11.285714285714286,24.089285714285715,4.0
SR Watson,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,27.5177304964539,16.785714285714285,20.533333333333335,27.5177304964539,0.0
M Kaif,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,11.772727272727273,8.8,4.0,11.772727272727273,21.0
LR Shukla,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,12.272727272727273,19.0,13.11111111111111,12.272727272727273,40.0
R Vinay Kumar,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,7.380952380952381,9.5,8.428571428571429,7.380952380952381,1.0
P Kumar,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,5.964912280701754,8.454545454545455,11.571428571428571,5.964912280701754,6.0
LRPL Taylor,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,18.833333333333332,24.2,15.142857142857142,18.833333333333332,53.0
WP Saha,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,20.517482517482517,21.714285714285715,22.8125,20.517482517482517,1.0
YK Pathan,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,21.058823529411764,21.8,16.227272727272727,21.058823529411764,55.0
DJ Hussey,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,21.672131147540984,7.25,10.25,21.672131147540984,17.0
R Dravid,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,26.51219512195122,20.214285714285715,29.2,26.51219512195122,0.0
M Rawat,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,5.0,0.0,2.0,5.0,1.0
JH Kallis,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,25.54736842105263,24.25,20.583333333333332,25.54736842105263,14.0
PA Patel,2008-04-26,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,20.941176470588236,24.7,21.125,20.941176470588236,21.0
Mohammad Hafeez,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,8.0,16.0,11.0,8.0,2.0
RT Ponting,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,10.11111111111111,3.0,3.0,10.11111111111111,19.0
V Kohli,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,32.84426229508197,32.310344827586206,25.466666666666665,32.84426229508197,12.0
M Kartik,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,8.071428571428571,2.6666666666666665,7.25,8.071428571428571,10.0
S Chanderpaul,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,8.333333333333334,2.0,2.0,8.333333333333334,7.0
ML Hayden,2008-04-26,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,34.59375,31.444444444444443,23.666666666666668,34.59375,13.0
MV Boucher,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,17.130434782608695,7.875,5.0,17.130434782608695,4.0
GC Smith,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,25.482758620689655,49.0,36.5,25.482758620689655,2.0
MS Dhoni,2008-04-26,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,22.99561403508772,26.627906976744185,19.857142857142858,22.99561403508772,65.0
BB McCullum,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,26.440366972477065,31.5,26.11111111111111,26.440366972477065,1.0
AB Agarkar,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,9.944444444444445,10.0,7.666666666666667,9.944444444444445,2.0
Z Khan,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,4.333333333333333,5.5,6.0,4.333333333333333,8.0
I Sharma,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2.7142857142857144,2.5,5.25,2.7142857142857144,1.0
RV Uthappa,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers,25.14720812182741,20.545454545454547,13.8,25.14720812182741,37.0
AM Nayar,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers,13.44,18.166666666666668,16.5,13.44,2.0
R Bhatia,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,7.276595744680851,16.5,7.4,7.276595744680851,8.0
V Sehwag,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,26.23076923076923,10.0,25.0,26.23076923076923,24.0
VY Mahesh,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,3.0,6.0,6.0,3.0,3.0
Yuvraj Singh,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,21.857142857142858,25.153846153846153,27.0,21.857142857142858,14.0
ST Jayasuriya,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers,25.6,23.333333333333332,15.0,25.6,18.0
TM Srivastava,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,2.6666666666666665,7.0,7.0,2.6666666666666665,1.0
AC Gilchrist,2008-04-27,Dr DY Patil Sports Academy,Mumbai Indians,25.8625,30.5,26.0,25.8625,6.0
AM Rahane,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers,27.146198830409357,0.0,16.666666666666668,27.146198830409357,4.0
L Ronchi,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers,6.8,13.0,13.0,6.8,0.0
KC Sangakkara,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,24.808823529411764,37.09090909090909,21.727272727272727,24.808823529411764,3.0
IK Pathan,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,14.024390243902438,13.11111111111111,14.0,14.024390243902438,24.0
G Gambhir,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,27.927152317880793,54.0,31.73913043478261,27.927152317880793,86.0
Shoaib Malik,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,10.4,19.0,10.0,10.4,6.0
MK Tiwary,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,20.42168674698795,30.75,29.11111111111111,20.42168674698795,11.0
K Goel,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,13.625,13.2,19.5,13.625,6.0
VVS Laxman,2008-04-27,Dr DY Patil Sports Academy,Mumbai Indians,14.1,19.666666666666668,13.666666666666666,14.1,48.0
